date,year,month,climate_cloud_amt
2015-01-01,2015,1,19.69
2015-02-01,2015,2,56.45
2015-03-01,2015,3,79.2
2015-04-01,2015,4,55.56
2015-05-01,2015,5,74.34
2015-06-01,2015,6,66.76
2015-07-01,2015,7,67.91
2015-08-01,2015,8,85.04
2015-09-01,2015,9,65.15
2015-10-01,2015,10,55.18
2015-11-01,2015,11,21.56
2015-12-01,2015,12,17.25
2016-01-01,2016,1,21.53
2016-02-01,2016,2,24.3
2016-03-01,2016,3,83.12
2016-04-01,2016,4,71.19
2016-05-01,2016,5,79.45
2016-06-01,2016,6,67.25
2016-07-01,2016,7,75.75
2016-08-01,2016,8,78.15
2016-09-01,2016,9,73.23
2016-10-01,2016,10,51.51
2016-11-01,2016,11,28.45
2016-12-01,2016,12,28.75
2017-01-01,2017,1,23.04
2017-02-01,2017,2,28.74
2017-03-01,2017,3,59.3
2017-04-01,2017,4,75.16
2017-05-01,2017,5,78.37
2017-06-01,2017,6,66.24
2017-07-01,2017,7,72.04
2017-08-01,2017,8,80.97
2017-09-01,2017,9,66.22
2017-10-01,2017,10,45.15
2017-11-01,2017,11,43.57
2017-12-01,2017,12,31.9
2018-01-01,2018,1,17.2
2018-02-01,2018,2,42.8
2018-03-01,2018,3,65.49
2018-04-01,2018,4,84.43
2018-05-01,2018,5,87.12
2018-06-01,2018,6,70.62
2018-07-01,2018,7,73.63
2018-08-01,2018,8,77.7
2018-09-01,2018,9,71.6
2018-10-01,2018,10,53.73
2018-11-01,2018,11,44.48
2018-12-01,2018,12,22.36
2019-01-01,2019,1,31.65
2019-02-01,2019,2,56.51
2019-03-01,2019,3,67.61
2019-04-01,2019,4,76.6
2019-05-01,2019,5,82.58
2019-06-01,2019,6,68.32
2019-07-01,2019,7,73.34
2019-08-01,2019,8,86.07
2019-09-01,2019,9,73.6
2019-10-01,2019,10,76.1
2019-11-01,2019,11,34.25
2019-12-01,2019,12,8.4
2020-01-01,2020,1,19.23
2020-02-01,2020,2,22.67
2020-03-01,2020,3,71.23
2020-04-01,2020,4,76.02
2020-05-01,2020,5,74.24
2020-06-01,2020,6,69.46
2020-07-01,2020,7,78.95
2020-08-01,2020,8,79.68
2020-09-01,2020,9,76.02
2020-10-01,2020,10,40.01
2020-11-01,2020,11,28.93
2020-12-01,2020,12,14.94
2021-01-01,2021,1,15.66
2021-02-01,2021,2,32.87
2021-03-01,2021,3,68.37
2021-04-01,2021,4,71.1
2021-05-01,2021,5,83.66
2021-06-01,2021,6,74.79
2021-07-01,2021,7,77.18
2021-08-01,2021,8,79.47
2021-09-01,2021,9,75.25
2021-10-01,2021,10,59.19
2021-11-01,2021,11,38.05
2021-12-01,2021,12,33.93
2022-01-01,2022,1,43.04
2022-02-01,2022,2,17.24
2022-03-01,2022,3,64.96
2022-04-01,2022,4,73.21
2022-05-01,2022,5,68.5
2022-06-01,2022,6,64.24
2022-07-01,2022,7,81.07
2022-08-01,2022,8,81.03
2022-09-01,2022,9,77.09
2022-10-01,2022,10,52.06
2022-11-01,2022,11,21.85
2022-12-01,2022,12,20.25
2023-01-01,2023,1,25.11
2023-02-01,2023,2,20.61
2023-03-01,2023,3,62.59
2023-04-01,2023,4,70.34
2023-05-01,2023,5,76.45
2023-06-01,2023,6,71.61
2023-07-01,2023,7,65.48
2023-08-01,2023,8,78.12
2023-09-01,2023,9,63.52
2023-10-01,2023,10,53.79
2023-11-01,2023,11,48.05
2023-12-01,2023,12,12.74
2024-01-01,2024,1,7.59
2024-02-01,2024,2,28.91
2024-03-01,2024,3,71.45
2024-04-01,2024,4,73.01
2024-05-01,2024,5,73.46
2024-06-01,2024,6,62.69
2024-07-01,2024,7,82.62
2024-08-01,2024,8,82.25
2024-09-01,2024,9,73.66
2024-10-01,2024,10,53.94
2024-11-01,2024,11,12.78
2024-12-01,2024,12,14.33
2025-01-01,2025,1,11.25
2025-02-01,2025,2,36.41
2025-03-01,2025,3,60.94
2025-04-01,2025,4,64.9
2025-05-01,2025,5,62.67
2025-06-01,2025,6,61.93
2025-07-01,2025,7,79.52
2025-08-01,2025,8,80.83
2025-09-01,2025,9,73.01
2025-10-01,2025,10,51.51
2025-11-01,2025,11,29.24
2025-12-01,2025,12,32.19
